Kommune,E-Mail,Bundesland,Einwohner,,,,,,,,,,,,,,,,,
Donaueschingen,stadt@donaueschingen.de,Baden-Württemberg,21790,,,,,,,,,,,,,,,,,
Durmersheim,info@durmersheim.de,Baden-Württemberg,11780,,,,,,,,,,,,,,,,,
Eberbach,stadt@eberbach.de,Baden-Württemberg,14727,,,,,,,,,,,,,,,,,
Ebersbach,rathaus@stadt.ebersbach.de,Baden-Württemberg,4326,,,,,,,,,,,,,,,,,
Ehingen,info@ehingen.de,Baden-Württemberg,1940,,,,,,,,,,,,,,,,,
Ehningen,gemeinde@ehningen.de,Baden-Württemberg,9277,,,,,,,,,,,,,,,,,
Eislingen,stadtinfo@eislingen.de,Baden-Württemberg,22505,,,,,,,,,,,,,,,,,
Ellwangen,info@ellwangen.de,Baden-Württemberg,290,,,,,,,,,,,,,,,,,
Elzach,stadt@elzach.de,Baden-Württemberg,7515,,,,,,,,,,,,,,,,,
Emmendigen,stadt@emmendingen.de,Baden-Württemberg,4980,,,,,,,,,,,,,,,,,
Eppelheim,info@eppelheim.de,Baden-Württemberg,15663,,,,,,,,,,,,,,,,,
Eppingen,rathaus@eppingen.de,Baden-Württemberg,22666,,,,,,,,,,,,,,,,,
Esslingen,stadt@esslingen.de,Baden-Württemberg,120,,,,,,,,,,,,,,,,,
Ettenheim,stadtverwaltung@ettenheim.de,Baden-Württemberg,13722,,,,,,,,,,,,,,,,,
Ettlingen,hauptamt@ettlingen.de,Baden-Württemberg,38578,,,,,,,,,,,,,,,,,
Fellbach,rathaus@fellbach.de,Baden-Württemberg,47120,,,,,,,,,,,,,,,,,
Filderstadt,stadt@filderstadt.de,Baden-Württemberg,46243,,,,,,,,,,,,,,,,,
Freiberg,rathaus@freiberg-an.de,Baden-Württemberg,41519,,,,,,,,,,,,,,,,,
Freiburg,ob-rsk@stadt.freiburg.de,Baden-Württemberg,15520,,,,,,,,,,,,,,,,,
Freudenberg,freudenberg-main.de,Baden-Württemberg,17355,,,,,,,,,,,,,,,,,
Freudenstadt,info@freudenstadt.de,Baden-Württemberg,24464,,,,,,,,,,,,,,,,,
Friedrichshafen,stadtverwaltung@friedrichshafen.de,Baden-Württemberg,62796,,,,,,,,,,,,,,,,,
Friesenheim,rathaus@friesenheim.de,Baden-Württemberg,723,,,,,,,,,,,,,,,,,
Furtwangen,stadt@furtwangen.de,Baden-Württemberg,1220,,,,,,,,,,,,,,,,,
Gaggenau,gaggenau.stadt@gaggenau.de,Baden-Württemberg,29529,,,,,,,,,,,,,,,,,
Gaildorf,stadt@gaildorf.de,Baden-Württemberg,12005,,,,,,,,,,,,,,,,,
Geislingen,info@geislingen.de,Baden-Württemberg,5870,,,,,,,,,,,,,,,,,
Gengenbach,info@stadt-gengenbach.de,Baden-Württemberg,11081,,,,,,,,,,,,,,,,,
Gerlingen,stadt@gerlingen.de,Baden-Württemberg,18392,,,,,,,,,,,,,,,,,
Gernsbach,stadt@gernsbach.de,Baden-Württemberg,14405,,,,,,,,,,,,,,,,,
Giengen,stadtverwaltung@giengen.de,Baden-Württemberg,1056,,,,,,,,,,,,,,,,,
Göppingen,stadtverwaltung@goeppingen.de,Baden-Württemberg,58937,,,,,,,,,,,,,,,,,
Grenzach-Wyhlen,rathaus@grenzach-wyhlen.de,Baden-Württemberg,15476,,,,,,,,,,,,,,,,,
Großbottwar,stadt@grossbottwar.de,Baden-Württemberg,8005,,,,,,,,,,,,,,,,,
Haslach,stadt@haslach.de,Baden-Württemberg,215,,,,,,,,,,,,,,,,,
Hausach,rathaus@hausach.de,Baden-Württemberg,5851,,,,,,,,,,,,,,,,,
Hechingen,info@hechingen.de,Baden-Württemberg,19807,,,,,,,,,,,,,,,,,
Heidelberg,stadt@heidelberg.de,Baden-Württemberg,155756,,,,,,,,,,,,,,,,,
Heidenheim,rathaus@heidenheim.de,Baden-Württemberg,2487,,,,,,,,,,,,,,,,,
Heilbronn,posteingang@stadt-heilbronn.de,Baden-Württemberg,131986,,,,,,,,,,,,,,,,,
Herbolzheim,info@stadt-herbolzheim.de,Baden-Württemberg,10783,,,,,,,,,,,,,,,,,
Herrenberg,stadt@herrenberg.de,Baden-Württemberg,34192,,,,,,,,,,,,,,,,,
Heubach,info@heubach.de,Baden-Württemberg,10145,,,,,,,,,,,,,,,,,
Hockenheim,info@hockenheim.de,Baden-Württemberg,21623,,,,,,,,,,,,,,,,,
Holzgerlingen,stadt@holzgerlingen.de,Baden-Württemberg,14184,,,,,,,,,,,,,,,,,
Horb,post@horb.de,Baden-Württemberg,491,,,,,,,,,,,,,,,,,
Kandern,stadt@kandern.de,Baden-Württemberg,8710,,,,,,,,,,,,,,,,,
Karlsruhe,stadt@karlsruhe.de,Baden-Württemberg,309050,,,,,,,,,,,,,,,,,
Kehl,info@stadt-kehl.de,Baden-Württemberg,39584,,,,,,,,,,,,,,,,,
Kenzingen,post@kenzingen.de,Baden-Württemberg,10748,,,,,,,,,,,,,,,,,
Kirchheim,info@kirchheim-teck.de,Baden-Württemberg,3623,,,,,,,,,,,,,,,,,
Knittlingen,stadt.knittlingen@knittlingen.de,Baden-Württemberg,8188,,,,,,,,,,,,,,,,,
Königsfeld,info@koenigsfeld.de,Baden-Württemberg,717,,,,,,,,,,,,,,,,,
Konstanz,posteingang@konstanz.de,Baden-Württemberg,86919,,,,,,,,,,,,,,,,,
Korntal,stadt@korntal-muenchingen.de,Baden-Württemberg,1604,,,,,,,,,,,,,,,,,
Kornwestheim,office@kornwestheim.de,Baden-Württemberg,33980,,,,,,,,,,,,,,,,,
Künzelsau,info@kuenzelsau.de,Baden-Württemberg,16348,,,,,,,,,,,,,,,,,
Kuppenheim,stadt@kuppenheim.de,Baden-Württemberg,8224,,,,,,,,,,,,,,,,,
Ladenburg,post@ladenburg.de,Baden-Württemberg,12914,,,,,,,,,,,,,,,,,
Lahr,poststelle@lahr.de,Baden-Württemberg,166,,,,,,,,,,,,,,,,,
Laichingen,info@laichingen.de,Baden-Württemberg,12425,,,,,,,,,,,,,,,,,
Lauda-Königshofen,post@lauda-koenigshofen.de,Baden-Württemberg,14180,,,,,,,,,,,,,,,,,
Laufenburg,stadt@laufenburg-baden.de,Baden-Württemberg,7336,,,,,,,,,,,,,,,,,
Laupheim,stadt.laupheim@laupheim.de,Baden-Württemberg,22839,,,,,,,,,,,,,,,,,
Leimen,stadt@leimen.de,Baden-Württemberg,922,,,,,,,,,,,,,,,,,
Leinfelden-Echterdingen,info@le-mail.de,Baden-Württemberg,41185,,,,,,,,,,,,,,,,,
Leonberg,info@leonberg.de,Baden-Württemberg,49480,,,,,,,,,,,,,,,,,
Leutkirch,stadt@leutkirch.de,Baden-Württemberg,1882,,,,,,,,,,,,,,,,,
Löffingen,buergerbuero@loeffingen.de,Baden-Württemberg,7692,,,,,,,,,,,,,,,,,
Lörrach,stadt@loerrach.de,Baden-Württemberg,51349,,,,,,,,,,,,,,,,,
Lorch,info@stadt-lorch.de,Baden-Württemberg,3780,,,,,,,,,,,,,,,,,
Ludwigsburg,rathaus@ludwigsburg.de,Baden-Württemberg,92858,,,,,,,,,,,,,,,,,
Malsch,info@malsch.de,Baden-Württemberg,14880,,,,,,,,,,,,,,,,,
Mannheim,stadtverwaltung@mannheim.de,Baden-Württemberg,318035,,,,,,,,,,,,,,,,,
Markdorf,info@markdorf.de,Baden-Württemberg,14300,,,,,,,,,,,,,,,,,
Meersburg,rathaus@meersburg.de,Baden-Württemberg,5956,,,,,,,,,,,,,,,,,
Messkirch,info@messkirch.de,Baden-Württemberg,8676,,,,,,,,,,,,,,,,,
Metzingen,stadt@metzingen.de,Baden-Württemberg,23178,,,,,,,,,,,,,,,,,
Mössingen,stadtverwaltung@moessingen.de,Baden-Württemberg,21751,,,,,,,,,,,,,,,,,
Mosbach,info@mosbach.de,Baden-Württemberg,24459,,,,,,,,,,,,,,,,,
Mühlacker,stadt@muehlacker.de,Baden-Württemberg,26787,,,,,,,,,,,,,,,,,
Müllheim,stadt@muellheim.de,Baden-Württemberg,502,,,,,,,,,,,,,,,,,
Münsingen,stadt@muensingen.de,Baden-Württemberg,14772,,,,,,,,,,,,,,,,,
Nagold,info@nagold.de,Baden-Württemberg,23864,,,,,,,,,,,,,,,,,
Neckargemünd,stadtverwaltung@neckargemuend.de,Baden-Württemberg,13335,,,,,,,,,,,,,,,,,
Neckarsulm,info-stadt@neckarsulm.de,Baden-Württemberg,26431,,,,,,,,,,,,,,,,,
Neuenburg,stadtverwaltung@neuenburg.de,Baden-Württemberg,711,,,,,,,,,,,,,,,,,
Nürtingen,stadt@nuertingen.de,Baden-Württemberg,40773,,,,,,,,,,,,,,,,,
Oberkirch,stadt@oberkirch.de,Baden-Württemberg,19847,,,,,,,,,,,,,,,,,
Oberndorf,stadt@oberndorf.de,Baden-Württemberg,1367,,,,,,,,,,,,,,,,,
Öhringen,info@oehringen.de,Baden-Württemberg,25673,,,,,,,,,,,,,,,,,
Offenburg,rathaus@offenburg.de,Baden-Württemberg,62993,,,,,,,,,,,,,,,,,
Osterburken,info@osterburken.de,Baden-Württemberg,6639,,,,,,,,,,,,,,,,,
Ostfildern,Stadt@Ostfildern.de,Baden-Württemberg,39778,,,,,,,,,,,,,,,,,
Pforzheim,poststelle@stadt-pforzheim.de,Baden-Württemberg,134912,,,,,,,,,,,,,,,,,
Pfullendorf,info@stadt-pfullendorf.de,Baden-Württemberg,13442,,,,,,,,,,,,,,,,,
Pfullingen,info@pfullingen.de,Baden-Württemberg,19759,,,,,,,,,,,,,,,,,
Plochingen,rathaus@plochingen.de,Baden-Württemberg,14487,,,,,,,,,,,,,,,,,
Radolfzell,stadt@radolfzell.de,Baden-Württemberg,3084,,,,,,,,,,,,,,,,,
Rastatt,stadt@rastatt.de,Baden-Württemberg,50741,,,,,,,,,,,,,,,,,
Ravensburg,rathaus@ravensburg.de,Baden-Württemberg,50628,,,,,,,,,,,,,,,,,
Remseck,info@remseck.de,Baden-Württemberg,1609,,,,,,,,,,,,,,,,,
Renchen,rathaus@stadt-renchen.de,Baden-Württemberg,7582,,,,,,,,,,,,,,,,,
Reutlingen,stadt@reutlingen.de,Baden-Württemberg,118852,,,,,,,,,,,,,,,,,
Rheinau,mailpost@rheinau.de,Baden-Württemberg,11346,,,,,,,,,,,,,,,,,
Rheinfelden,info@rheinfelden-baden.de,Baden-Württemberg,77209,,,,,,,,,,,,,,,,,
Rheinstetten,rathaus@rheinstetten.de,Baden-Württemberg,21267,,,,,,,,,,,,,,,,,
Riedlingen,info@riedlingen.de,Baden-Württemberg,11176,,,,,,,,,,,,,,,,,
Rottenburg,stadt@rottenburg.de,Baden-Württemberg,1833,,,,,,,,,,,,,,,,,
Rottweil,stadt@rottweil.de,Baden-Württemberg,24985,,,,,,,,,,,,,,,,,
Rutesheim,stadt@rutesheim.de,Baden-Württemberg,11258,,,,,,,,,,,,,,,,,
Sachsenheim,info@sachsenheim.de,Baden-Württemberg,18638,,,,,,,,,,,,,,,,,
Salach,info@salach.de,Baden-Württemberg,8042,,,,,,,,,,,,,,,,,
Schliengen,gemeinde@schliengen.de,Baden-Württemberg,6200,,,,,,,,,,,,,,,,,
Schönau,info@schoenau-im-schwarzwald.de,Baden-Württemberg,4369,,,,,,,,,,,,,,,,,
Schopfheim,info@schopfheim.de,Baden-Württemberg,20332,,,,,,,,,,,,,,,,,
Schorndorf,stadt@schorndorf.de,Baden-Württemberg,41647,,,,,,,,,,,,,,,,,
Schramberg,info@schramberg.de,Baden-Württemberg,20610,,,,,,,,,,,,,,,,,
Schriesheim,zentrale@schriesheim.de,Baden-Württemberg,15209,,,,,,,,,,,,,,,,,
Schwäbisch-Gmünd,info@schwaebisch-gmuend.de,Baden-Württemberg,42598,,,,,,,,,,,,,,,,,
Schwäbisch-Hall,info@schwaebischhall.de,Baden-Württemberg,42598,,,,,,,,,,,,,,,,,
Schwetzingen,info@schwetzingen.de,Baden-Württemberg,21767,,,,,,,,,,,,,,,,,
Sigmaringen,post@sigmaringen.de,Baden-Württemberg,16884,,,,,,,,,,,,,,,,,
Sindelfingen,stadt@sindelfingen.de,Baden-Württemberg,61422,,,,,,,,,,,,,,,,,
Singen,info@singen.de,Baden-Württemberg,1206,,,,,,,,,,,,,,,,,
Sinsheim,rathaus@sinsheim.de,Baden-Württemberg,37036,,,,,,,,,,,,,,,,,
Sinzheim,gemeinde@sinzheim.de,Baden-Württemberg,11608,,,,,,,,,,,,,,,,,
Spaichingen,stadt@spaichingen.de,Baden-Württemberg,13714,,,,,,,,,,,,,,,,,
St. Georgen,info@st-georgen.de,Baden-Württemberg,3077,,,,,,,,,,,,,,,,,
Staufen,info@staufen.de,Baden-Württemberg,1277,,,,,,,,,,,,,,,,,
Steinen,gemeinde@steinen.de,Baden-Württemberg,219,,,,,,,,,,,,,,,,,
Stockach,post@stockach.de,Baden-Württemberg,17646,,,,,,,,,,,,,,,,,
Stühlingen,stadtverwaltung@stuehlingen.de,Baden-Württemberg,5351,,,,,,,,,,,,,,,,,
Stutensee,rathaus@stutensee.de,Baden-Württemberg,25259,,,,,,,,,,,,,,,,,
Stuttgart,post@stuttgart.de,Baden-Württemberg,612663,,,,,,,,,,,,,,,,,
Sulz,stadtverwaltung@sulz.de,Baden-Württemberg,819,,,,,,,,,,,,,,,,,
Sulzburg,stadt@sulzburg.de,Baden-Württemberg,2794,,,,,,,,,,,,,,,,,
Tamm,info@tamm.org,Baden-Württemberg,12305,,,,,,,,,,,,,,,,,
Tauberbischofsheim,info@tauberbischofsheim.de,Baden-Württemberg,13445,,,,,,,,,,,,,,,,,
Tengen,stadt@tengen.de,Baden-Württemberg,4818,,,,,,,,,,,,,,,,,
Titisee,stadt@titisee.de,Baden-Württemberg,918,,,,,,,,,,,,,,,,,
Todtnau,info@todtnau.de,Baden-Württemberg,4960,,,,,,,,,,,,,,,,,
Triberg,stadtverwaltung@triberg.de,Baden-Württemberg,7539,,,,,,,,,,,,,,,,,
Trossingen,stadt@trossingen.de,Baden-Württemberg,17489,,,,,,,,,,,,,,,,,
Tübingen,stadt@tuebingen.de,Baden-Württemberg,92322,,,,,,,,,,,,,,,,,
Tuttlingen,stadtverwaltung@tuttlingen.de,Baden-Württemberg,37109,,,,,,,,,,,,,,,,,
Überlingen,rathaus@ueberlingen.de,Baden-Württemberg,22735,,,,,,,,,,,,,,,,,
Ulm,stadt_ulm@ulm.de,Baden-Württemberg,129882,,,,,,,,,,,,,,,,,
Vaihingen,info@vaihingen.de,Baden-Württemberg,687,,,,,,,,,,,,,,,,,
Villingen-Schwenningen,stadt@villingen-schwenningen.de,Baden-Württemberg,89756,,,,,,,,,,,,,,,,,
Wagenhäusel,stadtverwaltung@waghaeusel.de,Baden-Württemberg,6995,,,,,,,,,,,,,,,,,
Waiblingen,rathaus@waiblingen.de,Baden-Württemberg,57313,,,,,,,,,,,,,,,,,
Waldkirch,postkorb@stadt-waldkirch.de,Baden-Württemberg,21510,,,,,,,,,,,,,,,,,
Tiengen,stadt@waldshut-tiengen.de,Baden-Württemberg,153,,,,,,,,,,,,,,,,,
Walldorf,stadt@walldorf.de,Baden-Württemberg,16188,,,,,,,,,,,,,,,,,
Walldüern,stadt@wallduern.de,Baden-Württemberg,16188,,,,,,,,,,,,,,,,,
Wangen,stadtverwaltung@wangen.de,Baden-Württemberg,3183,,,,,,,,,,,,,,,,,
Wehr,stadt@wehr.de,Baden-Württemberg,1123,,,,,,,,,,,,,,,,,
Weikersheim,info@weikersheim.de,Baden-Württemberg,7902,,,,,,,,,,,,,,,,,
Weil am Rhein,stadt@weil-am-rhein.de,Baden-Württemberg,32236,,,,,,,,,,,,,,,,,
Weil,stadt@weil-der-stadt.de,Baden-Württemberg,4022,,,,,,,,,,,,,,,,,
Weingarten,info@weingarten-online.de,Baden-Württemberg,24940,,,,,,,,,,,,,,,,,
Weinheim,rathaus@weinheim.de,Baden-Württemberg,45852,,,,,,,,,,,,,,,,,
Weinstadt,info@weinstadt.de,Baden-Württemberg,27074,,,,,,,,,,,,,,,,,
Wendlingen,stadt@wendlingen.de,Baden-Württemberg,1662,,,,,,,,,,,,,,,,,
Wertheim,stadtverwaltung@wertheim.de,Baden-Württemberg,22874,,,,,,,,,,,,,,,,,
Wiesloch,info@wiesloch.de,Baden-Württemberg,27731,,,,,,,,,,,,,,,,,
Wildberg,info@wildberg.de,Baden-Württemberg,9977,,,,,,,,,,,,,,,,,
Winnenden,rathaus@winnenden.de,Baden-Württemberg,29876,,,,,,,,,,,,,,,,,
Zell,stadtverwaltung@zell.de,Baden-Württemberg,1834,,,,,,,,,,,,,,,,,
Aach,aach.de,Baden-Württemberg,1059,,,,,,,,,,,,,,,,,
Aalen,aalen.de,Baden-Württemberg,67621,,,,,,,,,,,,,,,,,
Abstatt,abstatt.de,Baden-Württemberg,4975,,,,,,,,,,,,,,,,,
Achberg,achberg.de,Baden-Württemberg,1709,,,,,,,,,,,,,,,,,
Achstetten,achstetten.de,Baden-Württemberg,5116,,,,,,,,,,,,,,,,,
Adelberg,adelberg.de,Baden-Württemberg,1961,,,,,,,,,,,,,,,,,
Adelmannsfelden,adelmannsfelden.de,Baden-Württemberg,1732,,,,,,,,,,,,,,,,,
Affalterbach,affalterbach.de,Baden-Württemberg,4364,,,,,,,,,,,,,,,,,
Aglasterhausen,aglasterhausen.de,Baden-Württemberg,4825,,,,,,,,,,,,,,,,,
Ahorn,gemeindeahorn.de,Baden-Württemberg,2209,,,,,,,,,,,,,,,,,
Aichelberg,aichelberg.de,Baden-Württemberg,1287,,,,,,,,,,,,,,,,,
Aichhalden,aichhalden.de,Baden-Württemberg,4225,,,,,,,,,,,,,,,,,
Aichstetten,aichstetten.de,Baden-Württemberg,2874,,,,,,,,,,,,,,,,,
Aichwald,gemeinde-aichwald.de,Baden-Württemberg,7271,,,,,,,,,,,,,,,,,
Aidlingen,aidlingen.de,Baden-Württemberg,9302,,,,,,,,,,,,,,,,,
Aitern,aitern.de,Baden-Württemberg,487,,,,,,,,,,,,,,,,,
Aitrach,aitrach.de,Baden-Württemberg,3028,,,,,,,,,,,,,,,,,
Albbruck,albbruck.de,Baden-Württemberg,7451,,,,,,,,,,,,,,,,,
Albershausen,albershausen.de,Baden-Württemberg,4408,,,,,,,,,,,,,,,,,
Aldingen,aldingen.de,Baden-Württemberg,7858,,,,,,,,,,,,,,,,,
Alfdorf,alfdorf.de,Baden-Württemberg,7260,,,,,,,,,,,,,,,,,
Allensbach,allensbach.de,Baden-Württemberg,7353,,,,,,,,,,,,,,,,,
Alleshausen,alleshausen.de,Baden-Württemberg,531,,,,,,,,,,,,,,,,,
Allmannsweiler,allmannsweiler-bc.de,Baden-Württemberg,317,,,,,,,,,,,,,,,,,
Allmendingen,allmendingen.de,Baden-Württemberg,4927,,,,,,,,,,,,,,,,,
Alpirsbach,alpirsbach.de,Baden-Württemberg,6114,,,,,,,,,,,,,,,,,
Altbach,altbach.de,Baden-Württemberg,6047,,,,,,,,,,,,,,,,,
Altenriet,altenriet.de,Baden-Württemberg,1942,,,,,,,,,,,,,,,,,
Altensteig,altensteig.de,Baden-Württemberg,10798,,,,,,,,,,,,,,,,,
Althengstett,althengstett.de,Baden-Württemberg,7886,,,,,,,,,,,,,,,,,
Altshausen,altshausen.de,Baden-Württemberg,3999,,,,,,,,,,,,,,,,,
Ammerbuch,ammerbuch.de,Baden-Württemberg,11522,,,,,,,,,,,,,,,,,
Amstetten,amstetten.de,Baden-Württemberg,4208,,,,,,,,,,,,,,,,,
Amtzell,amtzell.de,Baden-Württemberg,4223,,,,,,,,,,,,,,,,,
Angelbachtal,angelbachtal.de,Baden-Württemberg,5299,,,,,,,,,,,,,,,,,
Appenweier,appenweier.de,Baden-Württemberg,10374,,,,,,,,,,,,,,,,,
Aspach,aspach.de,Baden-Württemberg,8178,,,,,,,,,,,,,,,,,
Asperg,asperg.de,Baden-Württemberg,13650,,,,,,,,,,,,,,,,,
Assamstadt,assamstadt.de,Baden-Württemberg,2236,,,,,,,,,,,,,,,,,
Asselfingen,asselfingen.de,Baden-Württemberg,1030,,,,,,,,,,,,,,,,,
Attenweiler,attenweiler.de,Baden-Württemberg,1905,,,,,,,,,,,,,,,,,
Au am Rhein,auamrhein.de,Baden-Württemberg,3368,,,,,,,,,,,,,,,,,
Auenwald,auenwald.de,Baden-Württemberg,6833,,,,,,,,,,,,,,,,,
Auggen,auggen.de,Baden-Württemberg,2797,,,,,,,,,,,,,,,,,
Aulendorf,aulendorf.de,Baden-Württemberg,10417,,,,,,,,,,,,,,,,,
Bad Buchau,badbuchau.de,Baden-Württemberg,4651,,,,,,,,,,,,,,,,,
Bad Herrenalb,badherrenalb.de,Baden-Württemberg,7694,,,,,,,,,,,,,,,,,
Bad Rappenau,badrappenau.de,Baden-Württemberg,22703,,,,,,,,,,,,,,,,,
Bad Wimpfen,badwimpfen.de,Baden-Württemberg,7686,,,,,,,,,,,,,,,,,
Badenweiler,gemeinde-badenweiler.de,Baden-Württemberg,4629,,,,,,,,,,,,,,,,,
Baienfurt,baienfurt.de,Baden-Württemberg,7382,,,,,,,,,,,,,,,,,
Baiersbronn,gemeinde-baiersbronn.de,Baden-Württemberg,15465,,,,,,,,,,,,,,,,,
Baindt,baindt.de,Baden-Württemberg,5269,,,,,,,,,,,,,,,,,
Balgheim,balgheim.de,Baden-Württemberg,1317,,,,,,,,,,,,,,,,,
Ballendorf,ballendorf.de,Baden-Württemberg,696,,,,,,,,,,,,,,,,,
Baltmannsweiler,baltmannsweiler.de,Baden-Württemberg,5525,,,,,,,,,,,,,,,,,
Balzheim,balzheim.de,Baden-Württemberg,2137,,,,,,,,,,,,,,,,,
Bammental,bammental.de,Baden-Württemberg,6278,,,,,,,,,,,,,,,,,
Bartholomä,bartholomae.de,Baden-Württemberg,2042,,,,,,,,,,,,,,,,,
Beilstein,beilstein.de,Baden-Württemberg,138,,,,,,,,,,,,,,,,,
Beimerstetten,beimerstetten.de,Baden-Württemberg,2479,,,,,,,,,,,,,,,,,
Bempflingen,bempflingen.de,Baden-Württemberg,3301,,,,,,,,,,,,,,,,,
Berg,berg-schussental.de,Baden-Württemberg,1289,,,,,,,,,,,,,,,,,
Bergatreute,bergatreute.de,Baden-Württemberg,3181,,,,,,,,,,,,,,,,,
Berghaupten,berghaupten.de,Baden-Württemberg,2539,,,,,,,,,,,,,,,,,
Berkheim,gemeinde-berkheim.de,Baden-Württemberg,3275,,,,,,,,,,,,,,,,,
Bermatingen,bermatingen.de,Baden-Württemberg,4160,,,,,,,,,,,,,,,,,
Bernstadt,bernstadt-wuertt.de,Baden-Württemberg,2318,,,,,,,,,,,,,,,,,
Besigheim,besigheim.de,Baden-Württemberg,12267,,,,,,,,,,,,,,,,,
Betzenweiler,betzenweiler.de,Baden-Württemberg,747,,,,,,,,,,,,,,,,,
Beuren,beuren.de,Baden-Württemberg,436,,,,,,,,,,,,,,,,,
Beuron,beuron.de,Baden-Württemberg,657,,,,,,,,,,,,,,,,,
Biederbach,biederbach.de,Baden-Württemberg,1751,,,,,,,,,,,,,,,,,
Billigheim,billigheim.de,Baden-Württemberg,6063,,,,,,,,,,,,,,,,,
Binau,binau.de,Baden-Württemberg,1323,,,,,,,,,,,,,,,,,
Bingen,bingen-hohenzollern.de,Baden-Württemberg,2699,,,,,,,,,,,,,,,,,
Binzen,binzen.de,Baden-Württemberg,2988,,,,,,,,,,,,,,,,,
Birenbach,birenbach.de,Baden-Württemberg,1905,,,,,,,,,,,,,,,,,
Birkenfeld,birkenfeld-enzkreis.de,Baden-Württemberg,7062,,,,,,,,,,,,,,,,,
Bischweier,bischweier.de,Baden-Württemberg,3003,,,,,,,,,,,,,,,,,
Bisingen,bisingen.de,Baden-Württemberg,9506,,,,,,,,,,,,,,,,,
Bitz,bitz.de,Baden-Württemberg,3812,,,,,,,,,,,,,,,,,
Blaubeuren,blaubeuren.de,Baden-Württemberg,12719,,,,,,,,,,,,,,,,,
Blaufelden,blaufelden.de,Baden-Württemberg,5439,,,,,,,,,,,,,,,,,
Bodelshausen,bodelshausen.de,Baden-Württemberg,5805,,,,,,,,,,,,,,,,,
Bodnegg,bodnegg.de,Baden-Württemberg,3235,,,,,,,,,,,,,,,,,
Bollschweil,bollschweil.de,Baden-Württemberg,2324,,,,,,,,,,,,,,,,,
Boms,boms.de,Baden-Württemberg,717,,,,,,,,,,,,,,,,,
Bondorf,bondorf.de,Baden-Württemberg,6230,,,,,,,,,,,,,,,,,
Bopfingen,bopfingen.de,Baden-Württemberg,11560,,,,,,,,,,,,,,,,,
Boxberg,boxberg.de,Baden-Württemberg,199,,,,,,,,,,,,,,,,,
Brackenheim,brackenheim.de,Baden-Württemberg,16774,,,,,,,,,,,,,,,,,
